frase,situacao
"sinto dor no peito e falta de ar ao caminhar",alto risco
"tive uma dor forte no peito que irradiou para o braço esquerdo",alto risco
"estou com falta de ar intensa e suor frio há uma hora",alto risco
"meu coração está muito acelerado e sinto tontura forte",alto risco
"desmaiei duas vezes hoje e sinto fraqueza no corpo todo",alto risco
"acordei com dor no peito e dificuldade para respirar",alto risco
"sinto um aperto forte no tórax que não passa há trinta minutos",alto risco
"tive náusea e suor frio junto com pressão no peito",alto risco
"minha pressão subiu muito e estou com visão embaçada",alto risco
"sinto dor no peito em repouso acompanhada de falta de ar",alto risco
"perdi a consciência por alguns segundos e meu coração estava irregular",alto risco
"sinto uma dor intensa no peito que piora ao respirar fundo",alto risco
"estou com inchaço nas pernas e não consigo deitar sem falta de ar",alto risco
"tive palpitações fortes seguidas de desmaio",alto risco
"sinto dor no peito há dois dias que não melhora com nada",alto risco
"a dor no peito veio de repente com suor frio e tremor",alto risco
"estou com o coração irregular e sinto pressão forte no peito",alto risco
"tive falta de ar súbita e uma dor que vai do peito até a mandíbula",alto risco
"sinto dormência no braço esquerdo e aperto no peito há meia hora",alto risco
"desmaiei no trabalho e acordei com dor no peito e suor frio",alto risco
"não consigo respirar direito e meu peito está doendo muito",alto risco
"sinto o coração falhar e tenho falta de ar mesmo parado",alto risco
"tive uma crise de palpitação que durou vários minutos com tontura",alto risco
"minha vista escureceu e senti uma dor forte no tórax",alto risco
"estou com dor no peito falta de ar e náusea ao mesmo tempo",alto risco
"tive um leve incômodo nas costas depois de carregar peso",baixo risco
"sinto um cansaço leve no final do dia após o trabalho",baixo risco
"meu coração acelerou um pouco depois de tomar café",baixo risco
"senti uma pontada rápida no peito que passou em segundos",baixo risco
"estou com dor de cabeça leve há algumas horas",baixo risco
"sinto um formigamento no braço quando fico muito tempo sentado",baixo risco
"tive uma tontura breve ao levantar rápido da cama",baixo risco
"estou com um pouco de falta de ar depois de subir a escada correndo",baixo risco
"sinto as pernas cansadas depois de ficar muito tempo em pé",baixo risco
"tive uma leve dor no peito ontem mas passou sozinha em poucos minutos",baixo risco
"meu coração bateu mais rápido durante o exercício na academia",baixo risco
"sinto um desconforto leve no estômago depois de comer",baixo risco
"estou com sono excessivo essa semana por causa do trabalho",baixo risco
"senti uma fisgada rápida nas costas ao me abaixar",baixo risco
"tenho sentido um leve cansaço ao subir escadas mas passa rápido",baixo risco
"fico ofegante quando corro mas recupero o fôlego em poucos minutos",baixo risco
"sinto uma leve pressão na cabeça quando estou estressado",baixo risco
"meu braço ficou dormente depois de dormir em posição errada",baixo risco
"tive uma sensação estranha no peito mas durou poucos segundos e sumiu",baixo risco
"sinto cansaço depois de um dia longo de trabalho mas durmo e melhoro",baixo risco
"meu coração bateu forte depois de levar um susto mas normalizou rápido",baixo risco
"tenho sentido azia depois das refeições",baixo risco
"sinto as pernas pesadas no final do dia quando fico muito sentado",baixo risco
"tive uma leve falta de ar durante a corrida mas é normal pro meu ritmo",baixo risco
"estou com um pouco de dor nas costas por causa da postura no escritório",baixo risco
